id,interest_group,word_count,complex_pct
usr_62111231bc,Looking for Both,1592,17.776
usr_18c02c17a2,Looking for Women,906,9.934
usr_1c58a6a0e7,Looking for Men,1224,14.461
usr_f2fa5eadbf,Looking for Women,839,13.826
usr_aea53a8142,Looking for Men,2030,14.039
usr_957f29464f,Looking for Men,335,10.746
usr_9256c466fb,Looking for Women,566,20.318
usr_f79f5f2b1b,Looking for Women,2080,12.548
usr_f98cae6f00,Looking for Men,1336,25.449
usr_77c62063c9,Looking for Women,1000,12.2
usr_5bd7339095,Looking for Women,1512,13.228
usr_323f919897,Looking for Men,568,21.479
usr_44b02483f3,Looking for Men,1157,15.644
usr_9368a27fa1,Looking for Women,1385,23.466
usr_15f3bdcf80,Looking for Men,369,20.325
usr_69c6656a7e,Looking for Women,645,9.922
usr_5d1b9d55a6,Looking for Women,384,10.938
usr_db2dae94d0,Looking for Women,1040,13.846
usr_3647e23669,Looking for Women,2850,13.754
usr_6dc2e0bdb6,Looking for Women,853,20.516
usr_a4dd2a5faa,Looking for Women,568,18.486
usr_ca7ce7ccf9,Looking for Men,892,16.592
usr_1a3dd3479b,Looking for Women,396,17.172
usr_a6812c96de,Looking for Men,817,14.688
usr_8734675044,Looking for Men,535,15.327
usr_a7a9bad78b,Looking for Women,762,18.373
usr_78ece4944a,Looking for Women,326,6.442
usr_3089c6389f,Looking for Women,1144,12.15
usr_7b6463a41f,Looking for Men,369,13.279
usr_41855fc328,Looking for Men,2686,23.641
usr_e4e1b0b7c4,Looking for Both,1159,23.727
usr_2baef7757a,Looking for Women,853,12.544
usr_29f94af17f,Looking for Women,748,18.048
usr_bc8943c1f6,Looking for Women,119,21.849
usr_07f65c8d00,Looking for Women,368,10.326
usr_9ea93eae4d,Looking for Women,339,17.404
usr_05416c339c,Looking for Women,886,13.77
usr_2d2e80e632,Looking for Men,788,11.421
usr_b249276aff,Looking for Men,1877,10.762
usr_28c25b686b,Looking for Women,323,14.241
usr_af082a73b0,Looking for Women,476,12.395
usr_de9267b485,Looking for Women,1361,13.666
usr_fc017d82c9,Looking for Both,178,20.787
usr_7abe6d26c5,Looking for Women,1686,15.718
usr_55a09b3eb6,Looking for Women,434,14.977
usr_5c454914d9,Looking for Women,571,14.186
usr_bea9a0b648,Looking for Women,924,10.498
usr_1a96b561a7,Looking for Women,392,16.582
usr_1fb73e4836,Looking for Women,840,14.048
usr_9e07ccdaa5,Looking for Women,364,8.791
usr_f1fa07879a,Looking for Both,1871,11.331
usr_2b3c84d078,Looking for Men,324,13.58
usr_76e12533b0,Looking for Women,1172,15.956
usr_e02afc30b9,Looking for Men,420,10.238
usr_7beff3f364,Looking for Women,446,15.022
usr_ec665788c6,Looking for Women,1201,9.659
usr_1d7ce6b95c,Looking for Both,103,7.767
usr_8c045e9342,Looking for Women,1118,14.132
usr_482e943750,Looking for Women,307,9.446
usr_c7b0287a2e,Looking for Women,402,16.418
usr_2b2bbb68f8,Looking for Men,1041,11.239
usr_8a66d8f970,Looking for Women,12555,15.93
usr_dc07f2432e,Looking for Women,429,10.49
usr_b8ae6cc066,Looking for Women,832,9.856
usr_eafd834d0c,Looking for Women,183,14.208
usr_5cb6a47d0b,Looking for Men,326,11.35
usr_a64be45867,Looking for Women,175,20.0
usr_f93f3a791a,Looking for Men,2616,16.131
usr_65da957f53,Looking for Women,375,13.867
usr_086121af0b,Looking for Women,1292,13.854
usr_d011560031,Looking for Women,1347,13.512
usr_4542e591bd,Looking for Women,670,14.478
usr_87ae7e8e85,Looking for Women,720,11.25
usr_c95879af82,Looking for Women,855,16.257
usr_3eb7c032c3,Looking for Women,1492,18.097
usr_b1841bcdb4,Looking for Men,592,9.291
usr_4c79d89899,Looking for Women,1557,12.46
usr_ad37c5c484,Looking for Both,501,17.166
usr_e913712157,Looking for Women,1280,15.937
usr_f9d016cd0b,Looking for Women,648,10.031
usr_dee75989a8,Looking for Women,866,14.781
usr_f84a619384,Looking for Men,110,12.727
usr_1ffec2b180,Looking for Women,1513,12.954
usr_5807311f43,Looking for Women,1078,10.853
usr_3f5b9628fc,Looking for Men,435,11.034
usr_7bea345c09,Looking for Women,1749,16.695
usr_f6860f2591,Looking for Women,1074,11.825
usr_32e6c20d7a,Looking for Men,1913,18.557
usr_6c48cb097e,Looking for Women,273,7.692
usr_74299a606e,Looking for Men,258,17.442
usr_f99d050fdb,Looking for Women,1663,10.764
usr_23903e6cac,Looking for Women,1057,11.637
usr_1cbd809ad9,Looking for Women,1647,13.783
usr_64aaeab250,Looking for Women,2515,11.213
usr_f8b3720cf2,Looking for Women,1904,13.55
usr_13d918dd1a,Looking for Women,1215,12.428
usr_f3d4b8d4e3,Looking for Both,1361,11.095
usr_582385d5f1,Looking for Both,1049,11.725
usr_211c9de06e,Looking for Women,181,25.967
usr_a0ee1d96bb,Looking for Women,289,11.073
usr_c5f611665c,Looking for Men,275,15.636
usr_574998da53,Looking for Women,1492,13.606
usr_2af60cf596,Looking for Men,268,9.328
usr_5585b9cd21,Looking for Women,697,8.465
usr_8f8b200a9a,Looking for Both,739,18.539
usr_54d1128b0f,Looking for Men,105,13.333
usr_4da5e702b2,Looking for Women,126,15.079
usr_6abed675ba,Looking for Men,860,14.884
usr_e546949ddc,Looking for Men,635,16.063
usr_ba83e1402b,Looking for Women,533,11.445
usr_e2e23a6e0e,Looking for Men,345,15.652
usr_8e08991398,Looking for Women,596,8.557
usr_0e7b7af163,Looking for Women,1832,11.681
usr_04732cb97b,Looking for Women,295,22.034
usr_5f8a6bcd88,Looking for Women,871,22.732
usr_b3064cef67,Looking for Women,1619,13.465
usr_f0b57d5086,Looking for Women,126,18.254
usr_175108006f,Looking for Women,838,18.854
usr_02bf46161c,Looking for Women,480,16.042
usr_75b14a324e,Looking for Women,2069,12.228
usr_67f17eb9e6,Looking for Women,1040,12.692
usr_f57ea7ef5b,Looking for Both,514,13.813
usr_088df0aede,Looking for Women,653,14.855
usr_c5959f611c,Looking for Men,732,14.891
usr_612c0a9acf,Looking for Women,866,10.508
usr_aff5b99157,Looking for Women,2318,13.287
usr_84dc6a034d,Looking for Men,239,18.828
usr_f81ea6a0d9,Looking for Women,332,9.94
usr_646043becc,Looking for Women,743,11.44
usr_0434dfa104,Looking for Women,421,10.689
usr_aeebbaacd1,Looking for Women,331,16.616
usr_fb725bc901,Looking for Men,113,9.735
usr_fa70caacaa,Looking for Both,854,13.817
usr_2f8c26e8f2,Looking for Men,933,9.968
usr_2f7814b980,Looking for Men,1488,12.097
usr_0815a0bd72,Looking for Women,123,13.821
usr_65ff9bd76e,Looking for Women,677,13.737
usr_5a5a1b1133,Looking for Women,1091,16.04
usr_7a4f5b5298,Looking for Men,870,13.793
usr_5b651e5d8a,Looking for Both,1051,12.94
usr_ce8d89cc9a,Looking for Women,146,12.329
usr_0595390b2a,Looking for Women,580,10.517
usr_0ad3cadb21,Looking for Both,1307,9.181
usr_b7dffef9dd,Looking for Women,1127,11.18
usr_e2c15ff14e,Looking for Men,502,17.729
usr_1b22b88b8c,Looking for Women,461,11.497
usr_ec181fb208,Looking for Men,1019,13.248
usr_8e01aabd7b,Looking for Men,1157,15.644
usr_3861e7bb44,Looking for Women,963,11.215
usr_2a6d2a2d9e,Looking for Women,641,12.637
usr_0ddd44ddab,Looking for Women,561,10.517
usr_f31f1ef82d,Looking for Women,523,15.296
usr_b0cbb72cba,Looking for Women,1030,9.806
usr_f8264ce8ea,Looking for Women,271,22.509
usr_388e4d83da,Looking for Both,377,22.812
usr_f753263e7c,Looking for Men,1202,16.722
usr_75f2661435,Looking for Both,4710,14.607
usr_ad51f6fcde,Looking for Women,1206,15.423
usr_62a591d357,Looking for Women,685,9.781
usr_a5a2e6db18,Looking for Women,811,11.097
usr_043cba3ae0,Looking for Women,1572,13.359
usr_7bae480261,Looking for Women,1046,12.428
usr_a554d0a027,Looking for Women,1258,9.3
usr_c171b85fd5,Looking for Men,3115,13.9
usr_0cf7f3e282,Looking for Women,249,11.647
usr_5048f38377,Looking for Women,1054,11.954
usr_087fbc195a,Looking for Men,1621,9.192
usr_338869b614,Looking for Men,216,8.333
usr_7c05cf7f82,Looking for Women,708,16.384
usr_dab34ae3eb,Looking for Women,1853,14.787
usr_91520afa39,Looking for Women,2314,15.946
usr_472fe7a708,Looking for Men,1020,14.412
usr_eeb1bca3df,Looking for Men,728,10.44
usr_720699db56,Looking for Men,358,10.056
usr_48faf2fb83,Looking for Women,769,10.403
usr_5404818004,Looking for Women,240,20.417
usr_e6786b8495,Looking for Women,511,10.372
usr_f93929ccfe,Looking for Women,1368,12.646
usr_83dfcfab4f,Looking for Women,448,21.205
usr_2a41c33405,Looking for Men,613,12.887
usr_e85937d6f1,Looking for Men,433,19.4
usr_6d33a4613e,Looking for Men,534,12.921
usr_73fb709f6f,Looking for Women,359,9.192
usr_e77eb2eb7d,Looking for Women,1436,16.713
usr_8b8fa88e38,Looking for Women,4353,11.808
usr_afcc6e0593,Looking for Women,944,13.559
usr_f6f09aa842,Looking for Both,2081,12.158
usr_eca6230bc7,Looking for Men,971,9.99
usr_455248a8c2,Looking for Men,1890,15.556
usr_cb1f4df9ab,Looking for Men,473,11.416
usr_9114a08dc7,Looking for Men,1821,10.928
usr_ff0b88a130,Looking for Women,1742,18.829
usr_8cff506150,Looking for Men,231,6.926
usr_9125241386,Looking for Men,1125,12.889
usr_edae9f254b,Looking for Women,566,13.604
usr_3386c9dc77,Looking for Men,231,6.926
usr_210314bef7,Looking for Both,2705,10.795
usr_6c237e0590,Looking for Women,548,16.241
usr_c4f7451f7e,Looking for Women,430,18.605
usr_0ea1d233e4,Looking for Men,758,16.359
usr_a4ecbea0a1,Looking for Men,956,20.711
usr_7a86b09354,Looking for Men,102,20.588
usr_145d4094eb,Looking for Women,240,20.417
usr_4cabf006ea,Looking for Men,359,15.877
usr_002801e2b5,Looking for Men,379,10.29
usr_92a91ee01b,Looking for Men,667,14.393
usr_096c1fc308,Looking for Men,136,14.706
usr_8f91ad41be,Looking for Men,223,11.211
usr_772c480194,Looking for Men,295,6.78
usr_a3452c4d95,Looking for Women,572,9.79
usr_a316ad1ed3,Looking for Women,286,12.937
usr_f6e0013eab,Looking for Women,687,12.955
usr_c0b3a89595,Looking for Women,368,10.326
usr_527d3d9c91,Looking for Women,579,15.026
usr_66fbc11cf7,Looking for Men,720,10.278
usr_c77d61e581,Looking for Women,384,14.062
usr_9c7bd4050f,Looking for Both,585,15.214
usr_5675b58976,Looking for Men,609,13.136
usr_a685339a27,Looking for Women,643,11.353
usr_169fe68959,Looking for Women,2285,10.372
usr_3471ae2b14,Looking for Men,314,13.694
usr_076c084131,Looking for Women,780,12.436
usr_75f07f3e1a,Looking for Women,1410,13.404
usr_6220c53bd4,Looking for Women,989,12.942
usr_df563a8c21,Looking for Women,135,8.148
usr_8d798f2ac8,Looking for Men,117,12.821
usr_36af460751,Looking for Women,497,12.676
usr_870452fa93,Looking for Women,359,9.192
usr_ca9dfe4c14,Looking for Both,891,18.182
usr_bacc2418a5,Looking for Women,107,28.972
usr_ba9d8d1b92,Looking for Men,142,8.451
usr_8ab426951e,Looking for Men,2033,15.347
usr_52bf981f18,Looking for Both,3850,19.143
usr_80c22d2507,Looking for Women,821,12.911
usr_df98b38087,Looking for Men,310,5.161
usr_b1185a9599,Looking for Women,1832,11.681
usr_f40be05c5f,Looking for Both,707,10.75
usr_321cbee0ad,Looking for Men,1024,14.746
usr_90a20138cd,Looking for Men,794,10.327
usr_3b7ae0f59b,Looking for Women,159,19.497
usr_2cf51205d0,Looking for Women,435,9.885
usr_564edb5079,Looking for Women,861,13.937
usr_c4a83cbbdf,Looking for Women,2507,14.081
usr_657eb75a0a,Looking for Women,1067,17.338
usr_6604a51053,Looking for Women,785,18.089
usr_370e9dbeca,Looking for Both,746,17.694
usr_f524dc772d,Looking for Women,293,21.16
usr_655f1ed2c4,Looking for Men,358,14.525
usr_60221ab882,Looking for Men,1125,18.4
usr_5d19c07e30,Looking for Women,234,56.41
usr_4fc014d179,Looking for Women,605,12.727
usr_da31a54b44,Looking for Women,305,9.508
usr_91f5407cf3,Looking for Men,168,11.31
usr_91a4ee8192,Looking for Women,928,14.547
usr_77683bbfb9,Looking for Women,401,12.718
usr_2d35fdfcae,Looking for Women,1040,10.673
usr_b4914ffd72,Looking for Women,1358,15.169
usr_e095117d98,Looking for Women,280,10.714
usr_e10455e54d,Looking for Women,1619,13.527
usr_b388085011,Looking for Women,512,10.938
usr_174539e3d3,Looking for Women,1141,16.564
usr_2d1d90850d,Looking for Women,545,13.211
usr_1c94368b35,Looking for Both,292,10.959
usr_b59b3aa4ec,Looking for Women,143,10.49
usr_aef0bc1982,Looking for Women,333,16.817
usr_51bb038ab9,Looking for Men,1797,10.072
usr_bc27cf28c9,Looking for Women,398,9.296
usr_dfe670cf74,Looking for Women,422,13.744
usr_aca50c1241,Looking for Both,535,12.71
usr_72ee7b01b7,Looking for Men,657,11.111
usr_340e6cc34d,Looking for Women,113,11.504
usr_30ff43ad3f,Looking for Men,934,13.169
usr_c2d0e67189,Looking for Women,205,18.049
usr_d78fe9d889,Looking for Women,806,12.035
usr_d97a99c3b7,Looking for Men,135,9.63
usr_58fe5bb1ed,Looking for Women,1000,9.4
usr_e180f374be,Looking for Men,751,9.987
usr_298b38ef40,Looking for Women,178,29.775
usr_4b7db33b94,Looking for Men,144,22.222
usr_8e94444f6f,Looking for Both,1478,13.532
usr_bc41567741,Looking for Women,507,11.045
usr_bac751c66d,Looking for Women,130,11.538
usr_fd38a10137,Looking for Women,192,18.229
usr_ad60c5f6a0,Looking for Men,2299,10.004
usr_b25bc47508,Looking for Women,293,11.945
usr_8bec96c14b,Looking for Women,2932,17.087
usr_d8d708ea6b,Looking for Women,109,12.844
usr_65721f6fe3,Looking for Women,476,13.025
usr_80304fd0b5,Looking for Women,785,18.089
usr_d76a063805,Looking for Women,489,11.452
usr_33e12a81c2,Looking for Men,499,12.826
usr_95a9b10018,Looking for Women,429,17.716
usr_9c3df10c8e,Looking for Men,708,14.266
usr_4ca3dd5a11,Looking for Women,2640,11.402
usr_3da85ea3ec,Looking for Women,8401,11.463
usr_5d087ea782,Looking for Women,2398,15.847
usr_028ffb91eb,Looking for Women,2655,13.07
usr_88c85ecc38,Looking for Women,1301,14.988
usr_66a6bdc77b,Looking for Women,1077,9.285
usr_ab89eb0bb3,Looking for Women,1674,11.768
usr_c5a8d4db9f,Looking for Women,840,14.048
usr_7fd82cd0b4,Looking for Women,489,15.951
usr_81ad59323d,Looking for Women,892,11.659
usr_107b467dd6,Looking for Men,535,16.075
usr_a3164c38df,Looking for Men,1309,13.293
usr_98a3a766b8,Looking for Women,159,19.497
usr_dc0f7360e9,Looking for Women,924,17.1
usr_6c464a7f53,Looking for Women,568,8.979
usr_e8711d37b3,Looking for Both,1746,13.975
usr_5279084c35,Looking for Both,2074,11.524
usr_58c9686525,Looking for Women,1279,13.604
usr_781710d5f3,Looking for Both,3116,12.099
usr_adef7c72b1,Looking for Women,195,17.436
usr_687f8c5cbf,Looking for Women,241,15.353
usr_75045befd8,Looking for Men,661,11.195
usr_f12e7c6cb0,Looking for Both,194,9.278
usr_466c43842b,Looking for Men,223,16.143
usr_48e483544a,Looking for Women,7524,14.593
usr_448a88249a,Looking for Women,596,13.926
